Signature,Timestamp,Type,Whale,InputMint,OutputMint,InputSymbol,OutputSymbol,InputAmount,OutputAmount,InputUSD,OutputUSD
2PoRXxGKGRsCP5YMQpEhyFSCNoAHdATSE4CQnqUCaKtCSQzCkRWLqWeD43a7PfC1XBQ8DNMhbzatokWg9eM7pED8,Tue Feb 03 2026 21:41:43 GMT+0530 (India Standard Time),buy,FoMFvzXFbt7nch97hFfBK9EKp9miZcmvDXHhWD29jdbr,So11111111111111111111111111111111111111112,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,SOL,Fartcoin ,109.047789438,50000,3.19400975263902,11065
ZVVToyEu6atx4cDBvWAw3a7J53zHKNSBBzcurbTZp6Wnr5R3opJH8yBfMw9CwoNRiauQ62QDQTdM4e23s2NGjsC,Tue Feb 03 2026 21:42:02 GMT+0530 (India Standard Time),buy,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,USDC,SKR,263.487632,14393,263.6457245792,260.94509
54tefheSWXWxhxr1oErdcgZK6XQS195Pfwa6bV52TTGVe8eAgr7e8y9Zi7nezGQ55es5BFUBTNnukWdqFy3pgphJ,Tue Feb 03 2026 21:43:14 GMT+0530 (India Standard Time),sell,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BIRB,USDC,1821.09,0.661735,610.7935859999999,0.6621320409999999
3ZZGAiFRBnBVHqiB7oDFwer3Vezpn24ArnMFk3cKjd8XaJWWc3Ug5EbwmPqQzEisZcebARHZYcotqman8AxnW1CE,Tue Feb 03 2026 21:43:14 GMT+0530 (India Standard Time),sell,69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9,FetM1yYWWmQR4AAySYYVxBQeq77w4EDqiCJYPFa5HwXo,So11111111111111111111111111111111111111112,Unknown,SOL,30835947.463938,0.017680549,355.2301147845658,0.00051733286374
4U5xcZW3MLGaecdSzidGCrGdZTGwkuuB3KWViSxh96dMVM9eoDG45TZeegeewEw7Th1SGWyMqUSKmQoMYfjMExD8,Tue Feb 03 2026 21:46:23 GMT+0530 (India Standard Time),sell,FDwyVYykS7w3ABp4G2xvG39fQj398UmmCAXJHXBMpWGh,6WZQ5uwQJnhaiQvhSExUNFi2qUyCqxsDgrNonagcLTZ,So11111111111111111111111111111111111111112,FIRST,SOL,3161000.194631197,4.635535128,491.5355302651512,0.13540398108888
48VZoGXpB8exjUXuV84mroLvScGy5N9AzNbgxYcu2swgQQJtg5wA8w6vZsf98njzP1CR7qsQde3keoUYn1Q2UsNU,Tue Feb 03 2026 21:46:34 GMT+0530 (India Standard Time),buy,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,USDC,pippin,0.578298,6401.33,0.57865076178,1168.242725
tm7JLpkT1ZmAaDkTNki5VFjv6UjTwtApaDtm4mRLMCY8M3ZC8C84ura5o889Rx5LrfP7N175pvwNKKGcXqysPWA,Tue Feb 03 2026 21:47:10 GMT+0530 (India Standard Time),both,DPQkRgMqcGjDyJZfcrMAXTAc56dhtbLB1srsYBz6Bcmg,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin ,Fartcoin ,244826.939138,244826.939138,54449.51126429119,54449.51126429119
2iFDnhCKogJYSw3QuFBbr3TcD752oxFbxKnQrAkhyt4oKisa2sgcU16E2JPXzAZCU2myn22FDeL24bfmGJkGQgiX,Tue Feb 03 2026 21:47:19 GMT+0530 (India Standard Time),both,DPQkRgMqcGjDyJZfcrMAXTAc56dhtbLB1srsYBz6Bcmg,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,pippin,pippin,60837.671012,60837.671012,10987.283384767201,10987.283384767201
65erXw7hw4ec3Z5MzZEtHRCPJriwT9MrtjbQAqz9i71yX6o2N8QAGNQgKcfPt8fuPjCgt3mhk3hMJPf4MqVpxCx2,Tue Feb 03 2026 21:47:44 GMT+0530 (India Standard Time),sell,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BIRB,USDC,1000,343.242151,342,343.45152871210996
TA7f66WtEjRVQWXqaNocyp7VN7L674ync3qeCskNPbXNtnUuxkFHjgsRZSt9uZ3wGZu9AUEngmSiGrPGoSkKNDv,Tue Feb 03 2026 21:47:44 GMT+0530 (India Standard Time),sell,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BIRB,USDC,1000,343.637281,342,343.84689974140997
