Signature,Timestamp,Side,Input_Token,Output_Token,Input_Mint,Output_Mint,Input_Amount,Output_Amount,Whale_Address,Confidence,Source
"44Y9rBCv3wjGvEZPcpp3KYrumYhxj14mLJEu3vfay3MB1NjHwQCPRPfXyWL3RqN9ohaKVLgk4GhU5Q4ez5jVisPQ","2026-02-04T13:52:05.206Z","BUY","USDC","J6pQ...Mfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","85.163512","799.640931","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"3PgPVBxFKE43Y356WuMHrkCHDAQyb8oqYdkuvQwsqdCX65a4fMudswy5n7zKaMJc15Ai9EZbzAJ8tFwgwuJHnQU1","2026-02-04T13:52:19.094Z","BUY","SOL","Gj4T...BAGS","So11111111111111111111111111111111111111112","Gj4TowizfdkRJNsTgBEkj2WpBZZmGE7o9nN8q6RhBAGS","25.002039","189130.097469","6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr","100","v2_parser"
"4GY2jbv6k3cCPhGXGkL5EGB3LNZLG7oer8hZ8rzKfdaHa2SmtoZRudvtaTXdcxDVqokcsUMhvJ7qE9vwEqD3BxWD","2026-02-04T13:52:22.050Z","BUY","USDC","J6pQ...Mfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","85.198763","799.671118","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2jkoZTfzsPs4DWDnMCnK7z3UHJkc2mLYUJhcNCkGJTPqjQ41LpAkzeYQwTVC1qxpdXUa9djsyNpz5obJ1Z9grAMY","2026-02-04T13:52:41.926Z","BUY","SOL","Gj4T...BAGS","So11111111111111111111111111111111111111112","Gj4TowizfdkRJNsTgBEkj2WpBZZmGE7o9nN8q6RhBAGS","25.002039","200942.235971","6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr","100","v2_parser"
"5w53s7joVs16iv8Ly9mqEyxdVNNjHNuKpEnHkpgipzGasgGDhqNExMLxQ6qS5EHMbu8c6yp9FyWbJe4bsRGh2Fgo","2026-02-04T13:52:51.697Z","BUY","SOL","Gj4T...BAGS","So11111111111111111111111111111111111111112","Gj4TowizfdkRJNsTgBEkj2WpBZZmGE7o9nN8q6RhBAGS","1.982039","15628.789836","6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr","100","v2_parser"
"2AWdrFzFFqUWM1pTcW3G9PqySaCFisFWSLnUjz8jvsPbutfe6we5NEwxrmHCCzkbXx9vhHiope8Azh9zMAYqcWbf","2026-02-04T13:52:52.746Z","BUY","SOL","7VLL...pump","So11111111111111111111111111111111111111112","7VLLP8r771zV8JC6hGMS2Fedn7AJT8feHggxDDYSpump","1.502039","12773733.811218","9Z1B8jH89adkh2D6zMfmoLnTEcHXYCCJSNTL83w5SEpL","100","v2_parser"
"3CgLh22Zdrk43fig2CE6UNXLkuLRxJXU9whSQvXjboikwTwZinK2BHHk2r5WkexhDAtkJXQtQFb1uHijVY75Trrv","2026-02-04T13:52:54.089Z","BUY","SOL","9S8e...pump","So11111111111111111111111111111111111111112","9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump","1.032555","32083.535669","8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj","100","v2_parser"
"63T799RUwKEh7uNnDzQAafZDBvwZ1tCfmSv5MbCQ8cA7y6EPxNbdj7W2DMnayF5vKTYMu6LptEcNMBCRqy5z9rph","2026-02-04T13:52:58.079Z","BUY","USDC","J6pQ...Mfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","85.348125","799.679631","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
"2gGRjNrjSyqYrSyfSyJtbCsbyJBWE7H4GZZtf66sUY1TASTXmnD3ktuUY1Mz8WA6nNyH5SmVbTnEqpYw6xd2ES8V","2026-02-04T13:53:01.354Z","BUY","SOL","AWc8...BAGS","So11111111111111111111111111111111111111112","AWc8uws9nh7pYjFQ8FzxavmP8WTUPwmQZAvK2yAPBAGS","0.100000","983379.231013","RFSqPtn1JfavGiUD4HJsZyYXvZsycxf31hnYfbyG6iB","100","v2_parser"
"35KhMH3cSy4dCfpEHiatPsguXtP6vRT2b9u1RjvCwhgXABFsVmDcB3kQYDQhURZ1Ba1v5HYPgDPmSV2JAvwvD2Aj","2026-02-04T13:53:02.342Z","SELL","J6pQ...Mfvd","USDC","J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","800.000000","85.377000","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","100","v2_parser"
