Signature,Timestamp,Side,Whale,InputMint,OutputMint,InputSymbol,OutputSymbol,InputAmountRaw,OutputAmountRaw,InputAmountNormalized,OutputAmountNormalized,Confidence,Source
3pFXYN5HEDrhtamARPWXnX6d4pbjdc7zonvkxFJEE5SZkrYQMKC81uEd8ekGLc4gbNGWNH8AWyjAqBeoqshDJ7Aw,2026-02-03T16:11:28.890Z,BUY,69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9,So11111111111111111111111111111111111111112,FetM1yYWWmQR4AAySYYVxBQeq77w4EDqiCJYPFa5HwXo,SOL,FetM...HwXo,2.99703928,7701534.766555,2.997039,7701534.766555,100,v2_parser
2PoRXxGKGRsCP5YMQpEhyFSCNoAHdATSE4CQnqUCaKtCSQzCkRWLqWeD43a7PfC1XBQ8DNMhbzatokWg9eM7pED8,2026-02-03T16:11:30.258Z,BUY,7rhxnLV8C77o6d8oz26AgK8x8m5ePsdeRawjqvojbjnQ,So11111111111111111111111111111111111111112,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,SOL,9BB6...pump,327.143368314,50000,327.143368,50000.000000,100,v2_parser
4WrnttJRA1M7kgc71huNh2EcL7HYzzfZtKLBc6upV45Ene9BEQcC4PZELsWQFs856747XLUCjKRwXQZYNR6FVAq7,2026-02-03T16:11:34.853Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.629024,0.19920058,55.629024,0.199201,100,v2_parser
3doNj11GpDWdgmoXX9QFtC7JbWmU9TayduNg3Fw8thkAAtT2LPDmWdXXZur6ZTjnQaXkZR2jGE7B6t1c5FF91HmP,2026-02-03T16:11:34.856Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.629024,0.19920066,55.629024,0.199201,100,v2_parser
ZkaCzM77viqV6gvAXYQ2wMN1r66QV9Ynka85GnQ3MZXR5kX3PAAYKDkhpSbHUdaAagNzGzRSpku4waWbLoJ1xD4,2026-02-03T16:11:35.257Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.629046,0.19920076,55.629046,0.199201,100,v2_parser
2aP3yY25ctvuTpqNE2u3HvfWtqQsPTtxmapJrQ3Dg4gs6BmspZG1otX1dPteB8DXcUwNjT4igvQdy1ULFaMQJ3qG,2026-02-03T16:11:35.307Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.629052,0.19920078,55.629052,0.199201,100,v2_parser
3ohDPihvELuVp9WbQJWGRB63Bx2wfQYUFp19wWWjMGZJK9hTzk3xyGXNmkmmAmwJpuMjQHn4DGEJAzDaCSv4G4hV,2026-02-03T16:11:35.987Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.629052,0.19920078,55.629052,0.199201,100,v2_parser
3SJDfTEBrEvoMWT1EqGuYBkV9WcF2tYHyqyaH1fr2Ef5rmdLdGSuFCAmBAwp8wJNWRUUZKHfq9UyZYpfkk8LgUrw,2026-02-03T16:11:44.688Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,So11111111111111111111111111111111111111112,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,SOL,SKRb...ZhW3,2,5518.342452,2.000000,5518.342452,100,v2_parser
4DnUr2oPWk941GzVgm3VYHAyq2URYHXbHKP1eUpjjARhVp84K2JLE4FeNQFnqANsbnVdWJJfR5YdpzBFLwQg3LrX,2026-02-03T16:11:44.690Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,So11111111111111111111111111111111111111112,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,SOL,SKRb...ZhW3,2,5514.45863,2.000000,5514.458630,100,v2_parser
5fxkWWhSuJJ7w6NN6hWsW9Ru5qoYNh3vRKjwPcLC6E4ZAPtQiC1f3s8Y4aP7QpkUHtSXGCAYQ5WAjJ8Y52yHWkFC,2026-02-03T16:12:15.387Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.629052,0.19907205,55.629052,0.199072,100,v2_parser
Upx5LcLnoE3eMb73hSm1Z39Rbngmc9osG5yGweACKcefdWWHtEQTTopWvNPKen1VeDpcNKVcxuRB5kPFKUe9dPL,2026-02-03T16:12:48.080Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,400,121.072511,400.000000,121.072511,100,v2_parser
5T2cpjgcPDQesFKkQiuFiWDX8ghb4JFaaDD9zgvdGAt2jfJ8TksktTp4xtbfaJj1y7fbAbrtkHD2CHyWf65dwyfP,2026-02-03T16:12:57.497Z,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,So11111111111111111111111111111111111111112,GJAF...pump,SOL,4000,1.287281638,4000.000000,1.287282,100,v2_parser
4cJU5JMGBUzvB8DkRmD3YjzpqinBEoDG3KZCK1xMzAm93Fbf16x14agWPZWyBKdkaE3YHfJdhubzs9aGv8nAMF5T,2026-02-03T16:13:17.563Z,BUY,69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9,So11111111111111111111111111111111111111112,FetM1yYWWmQR4AAySYYVxBQeq77w4EDqiCJYPFa5HwXo,SOL,FetM...HwXo,4.49453928,13475334.835349,4.494539,13475334.835349,100,v2_parser
63tpPczZaCSP39Fvpz8GHk4VU4iqe2bjqYwDbvQqdqu1gdWsD33Qw2zyjKFEaR3RUv13haXpNmUmyqgZjQBMAobp,2026-02-03T16:13:51.471Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.664062,0.19892819,55.664062,0.198928,100,v2_parser
5KFpcsegejVHnibdRGQcM35GvnUjtFw1SrLH9ofQSf7wdZm966CPR9cZWwFcbhSjBtyQHVUdANz2hKiC9aqqAxHA,2026-02-03T16:13:51.668Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.664062,0.19892789,55.664062,0.198928,100,v2_parser
3cY31f3iw8iKLmNpz7Lm8AScpBDmS6VECispxj7qUZiaRAsNq8gWcPyZkKTNoEctfpjieYBUar56G5bXkTiZSayj,2026-02-03T16:13:52.076Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.664062,0.19892829,55.664062,0.198928,100,v2_parser
3TGmsFgF4Fi1KLXWrvnxRVFxY6gPtfvNMm5ezf7toDXosvcQAq2sFmxWwTcKEqdUwLfbf8mUuGFPYjcTeq5MpnhD,2026-02-03T16:13:52.115Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.664062,0.19892829,55.664062,0.198928,100,v2_parser
4BKgjcqtHnMAA65syRLhJWHKiKBHh7YvXm1nmboktaJja3iLmXQcSmvE8kJnKruKVRk6vbBSntkiohL8EoSd2nay,2026-02-03T16:14:00.986Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.74031,0.19920078,55.740310,0.199201,100,v2_parser
5em1MZrfrJns2qXGueawfC9u3n4ikVBtdhPTuDdvD5uVcsGf3pVfFwwyYgjQCaUNCoQY62fU4cCq71FMueuoPoRB,2026-02-03T16:14:01.606Z,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,USDC,A7bd...QXaS,55.74031,0.19920078,55.740310,0.199201,100,v2_parser
3eGzm5yEBfgYQTvvhzzEj8WQTa3mFNu6u73VvuV5Lp4GLYcYABXEbXmj6NQD7Ypcd1ZtBcQckZPfAoLHem4q5Ran,2026-02-03T16:14:41.341Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,100,30.244164,100.000000,30.244164,100,v2_parser
49MZ2VR7r94pG4AQ1PUbi3EQwa55BxfavSc8yevNKnTfvjqvhyB3wXUyc5uibUX6neY8EMiUFwq9JTo6FY1kFpuC,2026-02-03T16:14:41.553Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,200,60.459604,200.000000,60.459604,100,v2_parser
2AqA6MUaSZaFNoS42F3WoQ6szVaTxJQ2fMzJTvNwYRqfh9mUqVn8ZsJcm6vZbPGEQR1hzAzdwtRdLp9Ysmim992N,2026-02-03T16:14:42.087Z,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J3NK...3KFr,USDC,100,30.215448,100.000000,30.215448,100,v2_parser
