Signature,Side,Whale,InputMint,OutputMint,InputSymbol,OutputSymbol,InputAmountNormalized,OutputAmountNormalized,Confidence,Source
3FV69uth4kSYMSqUJU4ZdZLve8RbikmLZwH2RhTsJcZ2pXyX4yPL7CaTEVoB1qsLiPf1adBmriwRdehiGd9gz7QX,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,USDC,J6pQ...Mfvd,0.000088,0.000008,100,v2_parser
3MAC8275kijXCYdi2PWnTpFEscRC7bzJ5wJZ19P6iL4SPDKQKS39ZnZKUjv9ETF5FAEo99bBUyW9QYuoJDqmzG4J,BUY,CcM9FGcjo7hS1ZoiCXxM6cUVfiGrDV3qMDYGCbdmmSWj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,USDC,CARD...xYjp,0.000136,0.003154,100,v2_parser
4gnDCMRWL7JtactFhFQcnfUXwBfSTofQcHqTv6NC1TzwL1B62kKfdsvaXz23rNephBRBXUdkAPDTGNKJbHQDghr,BUY,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,USDC,J6pQ...Mfvd,0.000088,0.000008,100,v2_parser
2wzt2h7VLeDnBZDB7a6tfUMiZDp5pkce29ECgFK9iz5Pq3chdfJDaLUKxLnbBue857u4dfW7jQ7ZfXk22StiwGZD,SELL,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,So11111111111111111111111111111111111111112,Dz9m...bonk,SOL,0.000249,0.000000,100,v2_parser
5vzcJb2jtDcVH59TuSFngSfJk4jUbLUdzceZuRx4SP2v7pYJZQXXtuNWPwAs9BT777mruCNZZieok59mWtrD6A2T,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J6pQ...Mfvd,USDC,0.000008,0.000088,100,v2_parser
53v5y7MqUsp4z5i4tw4bBzYYLaYGbSUsjjW4ZRYcDyxqFTVTUzGZqiy93E3F8JY518Ri9Z9UCybGtg43CHvVyD6H,SELL,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J6pQ...Mfvd,USDC,0.000008,0.000088,100,v2_parser
48QjfgDhPC6eGMLLKEd16rLSTyKFzgL7924VnhMf253iLxhdWHktAnrYLtoRGLUDtsdQSMmXZb5SdgkyRKczjbWr,SELL,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,ANkPQZXuwuej3uRyow4fmxNuZD3J4iJKLFDjhDPDpump,So11111111111111111111111111111111111111112,ANkP...pump,SOL,5.625780,0.000000,100,v2_parser
4wQKcqCMSwL5ZNRTMPxwkrMhtWztjig5RYuLSh9tFtpfXysVNzjfkopeZVWLbVsmgE4Yw3noffEbdkDGXmuig4wz,SELL,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,So11111111111111111111111111111111111111112,CzLS...pump,SOL,0.000909,0.000000,100,v2_parser
2DzraV4rEc5DNDhJUREKAd61Xib7CFFZKf8TAH89XXcibdk5J5zeJQdfrV8TTyRoX1mXTm4MpimCuJTkFrjCDqvv,SELL,A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,So11111111111111111111111111111111111111112,CzLS...pump,SOL,0.000090,0.000000,100,v2_parser
5QjEv6QgHeruCoLDU2keDqNH7JhLYYx8etRbxH8wfWnKHux7CVw7sGuqCh2rsw5rKZD5oKMsMT52fVugGqrSYz7S,BUY,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,So11111111111111111111111111111111111111112,F9H12dDMpGpHB9vBiGLbWFomYMhsQqp8aecKNyg1DjM7,SOL,F9H1...DjM7,0.000000,21.039352,100,v2_parser
4hWv5zeyHJRvk2S5Nx5yVNgS2rnnPCrXtNHHobDKLujQAAeZRWGCMvU3Vtu7LnU52YT2CSMTQT2z8cRwhxZDXb5n,BUY,CcM9FGcjo7hS1ZoiCXxM6cUVfiGrDV3qMDYGCbdmmSWj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,USDC,CARD...xYjp,0.000111,0.002582,100,v2_parser
2z2qwBwsSfjZvQfgBEHr982VHxwhQ32qc8kcjVR3vsJat8bjBGm9Fuj25jFuKLGHtH6ZKDH5i3mEHyjSvLyUoFXi,SELL,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,F9H12dDMpGpHB9vBiGLbWFomYMhsQqp8aecKNyg1DjM7,So11111111111111111111111111111111111111112,F9H1...DjM7,SOL,21.039352,0.000000,100,v2_parser
3caZNJjppsr2r4afpwEQUu3n1SGXJ13tZ3co8KBRTot1KipdRBsev5Q9oYb8q2EvvWSRwfEaC1DsJQ1fBs8AjQfu,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,So11111111111111111111111111111111111111112,hnty...xWux,SOL,0.000001,0.000000,100,v2_parser
5Hj7DCVvCA5nNLQXTCVBFRuEuiaRVdrtc1dERfUNrWLVqn13fNoHSNhpaeGi2F6vo7YYXJ3JGpGEkims9Tjs2ebK,SELL,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,So11111111111111111111111111111111111111112,hnty...xWux,SOL,0.000001,0.000000,100,v2_parser
