Signature,Timestamp,Whale_Address,Rejection_Reason
"3z6y3byPUzj2XDnLjZjghCrt9ZaGK3F8JrwbMj3FXZhq5fFL1TGgS9AzUL3xSVFNoahmAeUZUqwDF23gKRmWxNcy","2026-02-04T15:51:18.987Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"mMP48Qi14em9R5ww8vRsinWZo4q39WJqzntXy5zmshyyihyk2JC53SX6kSmZfkFNNZ5hhQAStvVVFdhJJu3rCLh","2026-02-04T15:51:19.279Z","BBUdMhWyCoFTvE6GGN62rfrYHqwnapquSabwvjeWY2XP","swapper_identification_failed"
"2s1EX829zbLsxn3V7e2XEtx5XjeFC4A6JnGLo9iBoRhjBXr6zGv8p8dvshbakMTFDjfxTM5bRFk56F57kXYZ4W61","2026-02-04T15:51:20.401Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"5CeZC3gwK65kPRfkvAT1UJYvgHujmD1kCjKyTUFUTzZRNWNfybvDb6GiR313FPkf6a7udbdDDp7fV7nJ1fcM3Rjx","2026-02-04T15:51:20.635Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","below_minimum_value_threshold"
"EcDvCmwugTX94bMmnjHxKRX9eCzaYtT3skk1wpqjaPb9umApFqAPNLB2ajR6EnoR9haVV6ruiRhBFim2A57KDuS","2026-02-04T15:51:20.753Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"3n4iLgXjM7QwH3ne2vLhgxRh8mgntwBL1CgiBtneVU5VyxxLZFq7yfDYv1MaEyA1YV7JFSut4YjqTz8ydVx1iRHy","2026-02-04T15:51:21.081Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"5KLyEuHf3o3Ewwov6wP9LB6kEDMbKzdJ5KLryuXcFerip8DWw49yNdsxXxm1sM1EGWzKUEsn8pneMvkbePvVAqXu","2026-02-04T15:51:21.121Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"gUhH7dzugvTuGiBwbHwMDk8712re3RfdKh7qAN4tr53kApuHRxEuh7CbJaJT1XipfiV7xVT8SUexCh31oXmDh7e","2026-02-04T15:51:21.144Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"3C76gB98YQP81L2HdYjhmBxhDryj1PmKuRHoEsDeaPD1mugxDBBfs1zzC7FfTXSUrSJdiq7rhdba9729MFPQEmYL","2026-02-04T15:51:21.173Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"bKFsXV58APS5TDFkL5sZ66VyaZrCXn3xDefERUWmsS9DTmepfKFNxX7MPHvNJjKipfufCm9LAK4jUKXfjVv8mwo","2026-02-04T15:51:21.236Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","below_minimum_value_threshold"
"w7LTSTnFFHwXaQFEUoSX2BvSWwgaNg6V333rSxgoJBzDBK9TiAABRZmZV7m6YbTvnZVYNE3SyiU1qcFdeKP2xKt","2026-02-04T15:51:21.248Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"3PBCkmB4YtwmhvWJ9EV3kTNqGJSjRZSKG42hXaEZj3Jd9Mj38RnR81r1mJFH9BERh9b2NFCkgmep9yE7HMdzJtPZ","2026-02-04T15:51:21.266Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","below_minimum_value_threshold"
"3mAhLatMSvexbxpT7eETgMU35KtT47FtpD62qyX7fyfUvZGfijVrNdtA4oYjP5pC7aLgpYvkvERyvb6nn2yLgMg","2026-02-04T15:51:21.350Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","below_minimum_value_threshold"
"5zzBTBK7h6v4U3Gv7vyEr24NKoBENqHPNvi8YvxQoKD2jdWhb3sadg4KQHQPv6KzBvC9Efe9qhmdVE1uXMeFAhEF","2026-02-04T15:51:21.362Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"2JUMXRL3g17sNsU9ZJgPXvjDrXrnCLzFGesBi2dkutcb4rkCUBYYyF1NEgirkVbvxePHMV4rf6BNjeFH9SvbfR1z","2026-02-04T15:51:21.377Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"4svnXQg5pzU6q3778cVTstYZRdb8FDvNLPKHzoT8nzGhSy1DErVjwnp7iPT8DKn89mNJV73ms3DTRzyWhSAup1CG","2026-02-04T15:51:21.441Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"7yskXshd99WHiDsBSjxwXe5SZQN4fRgmeTrSatRxr6UtZHPc67Hdn7r9AMmyhbbmAP2wpjHMA1jKvtvPPyp614X","2026-02-04T15:51:22.434Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"5sX26bDE9MQVN8hvJXbYeeQXTXd2sZRkyNjRdmufxYVevJEvKcbX3pvV3dUooq4v92isQqnqPkyHu2vkHMVqM4Xv","2026-02-04T15:51:22.872Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","below_minimum_value_threshold"
"5AJb8yyjazrM6Kdps4oxCbjruv65qCviSDAsngUMbU5PZTRxZNVDJumXLeg3CThqhYCJLTDWhybDy111h8NpXyf8","2026-02-04T15:51:22.907Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","below_minimum_value_threshold"
"5tykJ6RwfdDA7QhcPoDFGJjKmwq9QgES6To1cE8hvAP8uXPSdvTXpe5wKnJYdEJS2wfd93Fzx6y5YdNnwiHn4ue","2026-02-04T15:51:25.484Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"4utSVceYvu9yyZdhYGa7LHGPx2AwLYANwiQf85uuxehmcC97bU3J7BXmXeNZqorWB6uqzzJXnJfWqQR5bTnFW9uT","2026-02-04T15:51:25.485Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"3xLJFapUnUgoiVi8mg4wL4qWTKYjZ3nqiijJ3Ao2Bh5kJPZn1pnoPgFAoW7WxCE8TLy9dRkiCmi2AHxz3BrkLCjk","2026-02-04T15:51:25.485Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"66S3xXJgmVJmSHpGmTbVkgYXpritmSE1SJTwEPkh4fCEUeUVxatvyZr6QVbW8VqLVzLN3PqGe7TD12zE3hZ14D4k","2026-02-04T15:51:25.496Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"498Zc3qX16xi2UxnAhVKrPj9eVhJCJbEuroR7mm7WkKESXzoe5AYNn4etYRAHqsnmzYc6hqRz1XdkSB9fkwDzs4b","2026-02-04T15:51:25.497Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"4pBNtgmeQEHuVBXQVTqN7NyPGqQe255bRGDZHiqZXLxnFUi4Msaw6TsZK9Sw8P1iULMVsm8gkyEuMnSYTmVfmPAd","2026-02-04T15:51:25.511Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","swapper_identification_failed"
"3u3pLFpD5T6nBgUZnSuRpg2b3SLTAqcoZegDSD4hhTjXVczY4ajijSBDbjsrayytv2tCoktTryzASjisHNXjw9K","2026-02-04T15:51:25.522Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","swapper_identification_failed"
"4PP3M74V4q4oZdcitGbTtGFq8T3GDHVfFbW6xitjkKvq3oroAUpWNvSrTCPNqbo65s3ZQyFu98svAbjSbPpnrX7a","2026-02-04T15:51:25.525Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
"2FDjfWpZMMFVg9vCqALQFk6JhVXxqUn1J3noM54q6BhvCUqDBowZrhQdRiZ14c3XHqDfd8UzzwJjpiWCGNhU1xDj","2026-02-04T15:51:25.905Z","6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde","no_opposite_deltas"
"4VEq2NMXtUhmuenVUT4e222P16EB3XvnMBXhgVsZ95EVqJfhfPFxwq5MEXDR9zvZjTsxpfvCTSHwrgNUidvMPEgA","2026-02-04T15:51:26.164Z","3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW","no_opposite_deltas"
