Signature,Timestamp,Whale,Reason,Success
32kX5adfddCMWd4edFXTcQmGDNSvwPRaiLNAZEVynf6oL1rfT68Ye4QdRu7A6FGq9BjhcSkKvuCMEGbJRjA1LTZ8,2026-02-03T16:11:25.446Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,swapper_identification_failed,
3hYqaeRVSK9AabCyAmHNZH9FSGHiyMWNvZA18hw25wXWAPf1DU5vdsp54CifqiBm3mG6AbdNzKxywgzAhf9bE2FL,2026-02-03T16:11:25.449Z,76iXe9yKFDjGv3HicUVVy8AYxHLC71L1wYa12zaZzHHp,swapper_identification_failed,
3aToDUcUeJHfqWFH2Ss3PE9U2BLU1RJjWudYmKjSh3wfku5DtD5vccUSzGgq5Moz93w5FeMcKcKX2Yf1Gc8C6Zid,2026-02-03T16:11:25.451Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,invalid_asset_count,
aoVeMHHhuLykjVvJSMS1oFcX7zZJecwynSmhDPRS7JvVV63uUx1xMcghkaeuwo8nj5drkVGbz1iWFWU45rBPbqp,2026-02-03T16:11:25.488Z,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,swapper_identification_failed,
DtK16cp64agvnRBZkzQci4bXCawqwrt8oMezm8FRxT1tsoVfUb2F3BP1U9A2f2Lmye9zgPuXfST153eoWUKyg3T,2026-02-03T16:11:25.662Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,swapper_identification_failed,
5VsoRh3Ty5symH7VLhcTZJbdLQseahDwCCCzm7KYbtbcJGN8j2KhgppQvcdVmxuFJDZ1mFPQYXZQwzrKFRrvSpt8,2026-02-03T16:11:25.945Z,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,invalid_asset_count,
4hEmcK2GS9dqrEBGoKeqY3rKQAuPzjeew23aeNpU6BQmJ3jSHQHCcAbzyz3qhW5rUdH339NvYcE4rhhhXjkCwpgV,2026-02-03T16:11:26.353Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,single_meaningful_change,
46QFmUwAtuqHkZMHhEg9eDUUwas68AXMPxcpjBfsnM5W1TFpxL5EXDvTd9dnFcshbUMwWNpsShRhmCD2WFMaNuuP,2026-02-03T16:11:26.355Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,single_meaningful_change,
sAsBxhAGEjtBp61TeiQTFRFWWVXoFsdr5NDH24o4XnyNZJTYc7AicuMSkDaBCzbWBwBtnZN5Cv4C4XykxnZTNCg,2026-02-03T16:11:26.357Z,HWzS5piu5D926VDYpCS2ctiy8s3SXNU3sJF3Myd88y4v,swapper_identification_failed,
4xENQL66ziQQyiW7mVBB74mno3vpdo5brCg4Zgf77x4S8h9TZYTWHHJY1kiuoFDiVdR1mZC3ZQ7aQm4r38xBHfZx,2026-02-03T16:11:26.555Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,no_opposite_deltas,
45sRJXL5MQJQ4bveHuj9Bvk6u3UVmRBUSoabh5g15ueMCAKwPiepCyxDMYTzV5uXXFkKLx6x2zqKwA5uhroDcMo,2026-02-03T16:11:26.557Z,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,no_opposite_deltas,
3LHfLbPCv3kPZoYAdkkBVjzpgjZ4zVgYJG98oRKqBi5jCqFyqTWP7buVMyAYq5xuQWMWXHM8VAGhhYCV7neRRuA8,2026-02-03T16:11:26.760Z,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,swapper_identification_failed,
3tKNGBGcVQyMeY21GJtorkW3uP8Rzh6hQz6fBtVr7wmwoWuGXGevUo7K9d4fT4bf57K8eanoWmJkvCJ57yVuc3st,2026-02-03T16:11:26.762Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,single_meaningful_change,
3Ec2uJt9ETsfJXUsTmmmAZy2awNpXDXs5ncyZ3UcQbDCrqhN7gb4YGaXE5UX8vbp1wbYCXpZaznJ7462kmtzVDv7,2026-02-03T16:11:27.066Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,single_meaningful_change,
2t7knNcUncpfTa29s14zDSVMHwiCCgQ8FAPBU431LoqkNbcuBUhEqKqLh3Gs12hK56VrXnrT13x4NjQ62ZGAw5ep,2026-02-03T16:11:27.273Z,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,swapper_identification_failed,
3DHd7QecksehuA686NsSzLFG297WvrBcK4Gg4FngNJEsC3A71GdHe572TANaPXrdR12cDbTjE7ofgFnGjkmpAknt,2026-02-03T16:11:27.491Z,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,swapper_identification_failed,
46Rm28pe5CgjiBBzw7QioLZnq7xG1nXCiJRXeZcHMF8RJQ89hEg9cH8myoYkdVT2BDKQ8M2NtFTBDpPGA4ANvArp,2026-02-03T16:11:28.019Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,swapper_identification_failed,
5RtYEzNRM2YG3b2UiEguWXNRKKQV4P2e8nZSJ16i8Vm5baV1CVS4aqet4oDvj3f8DC9EwFWfs2tZLAP2MQZAC5ij,2026-02-03T16:11:28.033Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,swapper_identification_failed,
52TpocUVyv39RPXuVTSGaK54FeyCNpjpRRqtFasLKvxBreWFmE11Vc6x6bNvyBsTRLU9zLh5FzW4B5uW2QGxt7AQ,2026-02-03T16:11:28.401Z,6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,swapper_identification_failed,
hyumWMs5Z3JF1Gzk4K2T7SVm4ZQNkrDSmgzY2AUzJp2Msu931s5yUrzKz2XZpKC9Z37ut2z7scYUQGBQywmWa4k,2026-02-03T16:11:28.402Z,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,swapper_identification_failed,
4w5iFnyS91i7zAfCSQQ144gihv1iuYTTcByDo9ZSvJjYiSrbQrDqR67fAyZKE9CRYLEhiT7oQJ7X5esGTb9YWc1W,2026-02-03T16:11:28.693Z,3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,below_minimum_value_threshold,
