signature,wallet,type,tokenIn,tokenOut,amountIn,amountOut,timestamp,confidence
3YmvripowKbZMowiwmP3odCoUwz5DENbQmTdDBjRzeZBWQ7DzZrwRcjPGDYw6Ph7pMWfAefqvtTk9Qde6qGoueDz,AEeJUPCiGR3yCoukTh1G58o4LYsUEyzrXtfmfMc2kJMX,BUY,SOL,AWpD...doge,1.000705,42575.338424417,2026-02-17T21:58:18.000Z,100
4LZgi3T9xQAfStcEqvoZpqMVX2zPd8EEGWXecy3HnN6ftwqG7G9ZoC1wcXmuZ4n3ZSjiGJspfhP88oXAdTjuGbXZ,5sNnKuWKUtZkdC1eFNyqz3XHpNoCRQ1D1DfHcNHMV7gn,BUY,SOL,EMdW...BZVh,0.075131983,533633.745418,2026-02-17T21:58:47.000Z,100
4VQMSJfq9FuE1Zv8RuPR1nA8ygZxC86okWSJZ8NMVUdyMVR4hk9uvrMitNe2jzyg7VxZcoRzoHTnt5VFmL4biCdr,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,BUY,SOL,9QaL...98b8,1.3783920390000002,24611238.325293,2026-02-17T21:58:52.000Z,100
j78vyDeVhF1Ffok1LK87cqYBHdmKCitA5JsXRqkoDFwxgwCrf3kRQeimfwM5R8QnfqoGd7zKBzsaTuuWPz7xbH4,HugksxcSGZnhfTuLuwnP38E94FX3HjWZfiNjiXSdx6Yh,BUY,SOL,9QaL...98b8,3.4998287959999996,49503695.053233,2026-02-17T21:58:52.000Z,100
3RC1hCUPvGFPwb8uTjucS1XbUZKH4adgzLZfjhwQ3dfNYr5HVTDRwQr6AnZcHkjrinHNzDT67CrcmwcNKxckSQjB,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,BUY,SOL,9QaL...98b8,0.051485617,772433.333501,2026-02-17T21:58:54.000Z,100
5X6332tmW4aNu7YAioynWtaTpRBjtQzJMesBe34KqNjL6b993ymLV1v8Mee38QbgTCoGZHSKtJtzUjG6WwHK4ZXY,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,BUY,SOL,9QaL...98b8,0.050761903,759957.642458,2026-02-17T21:58:54.000Z,100
4SYaeFw1FH8mYgfktnZrZpEuNUUsP7nqQAGQS255yDsodVx475ULPh5p5EQHYry9Q6k5kVbVGadQWzqugu3cT7KQ,HugksxcSGZnhfTuLuwnP38E94FX3HjWZfiNjiXSdx6Yh,SELL,9QaL...98b8,SOL,24751847.5266,0.959595247,2026-02-17T21:58:56.000Z,100
LtygK8QAuVV4iGtWzRZ6kYSLFS4QnzRSR1wzhy32314jnWqHqTEwK4oGL63dDYMQfLjJJr1ATjN6Ptr9s4GHHun,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,SELL,5R6U...KZFN,SOL,2301491.991386,9.815789234,2026-02-17T21:58:58.000Z,100
5s19cWgBpmS1CnV9ustT5fQRzJPPVtrP9gn8AR8v5wgnZDEdnnguJ7WpG5wJbuaSeJi4ywPC22coC1G88hTD2Cg5,HugksxcSGZnhfTuLuwnP38E94FX3HjWZfiNjiXSdx6Yh,SELL,9QaL...98b8,SOL,9900739.01064,0.36453759900000005,2026-02-17T21:58:58.000Z,100
28VG564Vu4VdAc4VUnZmRk2FTw4DRbUuWMVgBuLrTNccuYcHBTah6Ac3uyrdQ2wvB4iqMP74MzDGTpoZvioSxSfz,HugksxcSGZnhfTuLuwnP38E94FX3HjWZfiNjiXSdx6Yh,SELL,9QaL...98b8,SOL,9900739.01064,0.295997493,2026-02-17T21:59:00.000Z,100
