signature,whale_address,ts_utc,shyft_result,shyft_erase_reason,shyft_direction,helius_result,helius_erase_reason,helius_direction,category,winner
Vg7ZXeFMzLXeMHjaSkCGKPTQjsNgeG8DeuRhSgdgtiWpXawwAaUxFtuDUesqFJsXLctDVhCgTAyET4Vi9Kxfwdn,8jX6h76wzVMwdnbZ4fhXt7zEAriynbdLMExPipvHAWYW,2026-02-18T09:29:34.421Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
5xxtgzJowjVCG4n7XxCReg2ke5TEcBZw2Df5TSbtANcAmqjhq5FzZEjrQfzRhaTikR7CBmvrAsaF5eCpa6wFpq7x,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:29:37.721Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
54NJLjLkK1Ws45jNsEujobHq2bgLsSFBL6TiuzRfwGhprQmCfLJLmdctURbQ3kCqrnfw9dH3QhrUt1JqvBny1k77,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2026-02-18T09:29:38.277Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
67aMzhR3FrESYJeNJdF6zScotPGW7XqquCeoRo5o3KkShhmeXoZ713KuRwTmpPrBFwtXbAZLPBek3GD2u2mX8JE1,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:37.832Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
5B3yNB6dtBfZ2krJ7ZnorW959ZV5m6RLbwzcPxdepvDUkGL3PRYM9PkHp8DtHvMhBV246w6SaLWK7tW6aRxjpL3Q,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:37.845Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
656PrG7nDSVC7TnLC5Tk8tzeE6XCxmsN57zy29Zd24uS4CePYCFnaz59iQMSGrqCWYoVoSdNf3oovSidJi8K5mJR,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:37.910Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
2B58nFWiVLLqKKA2aDvCDJRAzU6sYAsDMhkKi1UiUdwvjr3Y4zCMWWnwNPsbesjZs9hVbDHntN26BLG4JxbR38h,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:37.886Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
2UBKsYM65AbbJbStrYGVC6t9QgDa9H8cpKXtf4XFh4obD7dm9ZNiMDtPyYiDFJ5ZAggNmhNnGdfknsK9YAbarHJt,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:37.966Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
43vqDLAfPxVke1b9fr4DLzKogJxzpWnQdvZ5G6Kfqc9EgMcb3HDKCoBxiT4A3qKt883X64UQo1J9t9gFgJ3miWSY,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:29:39.745Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
AHZXo7LUk5QimoGAVNjmQtkojUf8WtVYLGKzafFPFwdCBhqXXJcm3RNFDoQNR7cjrXgDgHzVgvDHFaxQ3F81gs2,GsCY6n5RY7v3qcDAzGYcDShNzthngVs4So4b5nmVuqSN,2026-02-18T09:29:38.299Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
3tXrU9t7getrDtiB8fBkH2zU24WpGRfQzMP3j6TghqacyrParsTso862S5zKrbUnevHkCgCKvQeNspxShy3QcD6M,9mhknuPaxKJf1YeFDS6TL4b9EDTPUWVAFPPhkPXUt4ak,2026-02-18T09:29:42.332Z,valid,,BUY,erase,invalid_asset_count,n/a,shyft_only,shyft
38f134yvAaYCV53fkfqWGLuhxn7X45wtT3G6WKQHDiaH2bP8CoUr4yvjFJLY7XfaKdrgb3VTrWfrgR67FeNYv1o2,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:29:42.882Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
3mm233XLC8C94K7AYDNJcdSxxHe9wiTg6h9mntBjqTyogxK7upjoZrgxvYNxKnYdD7GXJrmRRm4zmb7uzrvyzWoz,Am8MAEorCMAKxphqjAz3Ff59NEwPm4W2eS3DQLi2B4hg,2026-02-18T09:29:46.601Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
3jwbRxeFXGoN8bEAW9KdsKP6iTjK9MwqwRVECs18GWT8MuHEB1Q51cGEUyHVdSyTLkjaRA3y85UmhEAujCx6ExDM,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:47.358Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
252NuEFd62tKFNME98mxKxdtywjMAU62gz4KEPji74aMkmDanoSAGyxRkBQTtEbgrTGy4PBFZtXGXwqA1bfnPJr8,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,2026-02-18T09:29:46.921Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
Mj1LzViCVsbvdNijpf6xHFyz7fV2TcTXurquiqC4uVRWV6oAo3SXoTPJy47x6n8D4gUCXqKd6PW5kGDM1r4FZRS,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:47.382Z,erase,invalid_delta_signs,n/a,erase,invalid_asset_count,n/a,both_missed,none
3NWAByZRZYe2MDtFPa8er8FqXPupacpHV5XVzMynVuJYomZVsXmZWgkLN2nAdT7LaUeKGM4hcr3kWurSQqM3Y6Fu,H2rYhxbwkxjxbZwam3dbzVR8BbQCyHGUT8Kgitive4pt,2026-02-18T09:29:47.370Z,erase,invalid_asset_count,n/a,erase,invalid_asset_count,n/a,both_missed,none
Ui2YbiX4yaMLK5GF7xfQqGUM2B3bAjirvRSTdxKmzbcsUcCngLbmbPz69VD399Z1koYUVWxhp7LNrCQCAZzhiyB,5e2qRc1DNEXmyxP8qwPwJhRWjef7usLyi7v5xjqLr5G7,2026-02-18T09:29:47.744Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
3d4GJNWsuaHPnLj1NB55G4RDvmwvPm1kDJoKCbTnWNagruNEUbNEaBBETJ6AkAkL4CF1jEw7aJBM9BX66kBXMFRY,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:29:48.476Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
5PgRNQTa1tzCFw4WVApM2o9cfbxxfQLP2jNjhGPHgCxbxrpQhiZKGgarcnPNvLz1neDMzoMC2L1iPCrijf6dKuP8,CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,2026-02-18T09:29:50.756Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
2PWa4bind5vkNH5fm2zSXAVAfHoDLJtFYcF89z9EAjWLyZNdiWUUAypiUHFwvLfrG1RpvBvTEh9rdCgukkcCSP5,ByjcyGru3RTeAheTjoFJi7mL8knNmzHz1twuoqjbjRtF,2026-02-18T09:29:51.120Z,erase,swapper_identification_failed,n/a,erase,swapper_identification_failed,n/a,both_missed,none
