signature,wallet,type,tokenIn,tokenOut,amountIn,amountOut,timestamp,confidence
2hmvA6sHjs72iNhQtYQmsdT1fqK99WjwpRraZ44Z334hyBp82BSGbnH1pQSkrZ4baWXExF2RjyBiRtub4SfZtXUt,J7yypoMpvHobeYK9KnrK8UgYsapHJMWmqXCPbT8NsN6o,BUY,USDC,AWpD...doge,500.018244,297893.499331902,2026-02-17T22:03:52.000Z,100
53uiCfu6PMpwgsYYv3iA6vHX7AVu2FyHLj7T2VycbEaX6qNjLRLff9mX7MLXtimoyf3whHFwYPhsPCa73PwDuhKv,FW1t2Kn5bD1yoQtzbJZPvnHEk6cJw6beGQCdPFVJEnwv,BUY,SOL,AWpD...doge,6.002051921,156938.926477209,2026-02-17T22:04:11.000Z,100
3xvbuvD3VrfN6hh5TRyGS9V4b81FwTEaLcGsW9vzipdqMhuPMLttUwTuFKWRHfTAh3f2pVDUrBqecvS2nZ5SeaEL,34ZEH778zL8ctkLwxxERLX5ZnUu6MuFyX9CWrs8kucMw,BUY,SOL,8wph...yQxs,0.605005,10729835.955504,2026-02-17T22:05:19.000Z,100
3GMkmKPsUaxL8NkPqRzn57w62JzWLwX4jTgahJJPWASHEbadv7kAAB5B8pUhFqkTgmJ3f2GJBbS8jdBFCqE6QnYd,FW1t2Kn5bD1yoQtzbJZPvnHEk6cJw6beGQCdPFVJEnwv,SELL,AWpD...doge,SOL,156938.926477209,3.9080437530000003,2026-02-17T22:05:29.000Z,100
5oWbcGp7rT3F2QQD9CQtbtYqpMSqAaRimRwDzqhAx2KaoF9FceAiHtLFF3XXEvkx3wxGVoe8iebevARgH6Jn9yra,E5VdVTg7sv8jV6BGkeYiXt2Zop9QxPsY9iBE2WPy7xJ9,SELL,HdvZ...pump,9Avy...pump,542966.762372,99999.999980932,2026-02-17T22:05:54.000Z,100
5oWbcGp7rT3F2QQD9CQtbtYqpMSqAaRimRwDzqhAx2KaoF9FceAiHtLFF3XXEvkx3wxGVoe8iebevARgH6Jn9yra,E5VdVTg7sv8jV6BGkeYiXt2Zop9QxPsY9iBE2WPy7xJ9,BUY,HdvZ...pump,9Avy...pump,542966.762391068,100000,2026-02-17T22:05:54.000Z,100
2QwLnuXSmNDWbHnSLawoWANLrgf2FyTp3fgoP413dr5Uds5S6V6ZtHTE37s8xk9dMeuFVuCC6Y8Tm2wGqq53RuZP,FW1t2Kn5bD1yoQtzbJZPvnHEk6cJw6beGQCdPFVJEnwv,BUY,SOL,AWpD...doge,4.002050381,151097.435964952,2026-02-17T22:06:13.000Z,100
59iFEAzpTQaw7HCXQ62TMHE2D68CJwcqxW2EkV8S9Q9BAC832Xp7F3u3AEmsa8SX1VdJZ4Z33Aipb5bpTCb4xn58,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,BUY,SOL,BPJi...pump,5.014005,10039693.765855,2026-02-17T22:06:39.000Z,100
4ALyNEtjkP5PUu6F2m9n4BX4N3RQinGgTx1twaYmGCPVTz9ndcGjgg4ReXG8VD8nebzmZqJFpFJtUYbwoyK7HmfR,34ZEH778zL8ctkLwxxERLX5ZnUu6MuFyX9CWrs8kucMw,BUY,SOL,9iUo...pump,1.007005,1846065.41547,2026-02-17T22:07:00.000Z,100
3yWX3562G8VZzZEEbdeoLLcHDqkuvS7DkExn6UfNKqkqQG2w1nsqSoBnh4PfK4RpubyD4cF6cw9dkn11pAW96wB9,FTSK6cZsQmgG3DyBCiXYs9R8rVZ4PNkToxjFpmST2qep,SELL,4NbL...dBcd,SOL,281972.324875,0.474653858,2026-02-17T22:07:20.000Z,100
3zdXA7pML966eCNnCpTbr2ZPykc8fjrB2WABZfRpWwVGAZKQoS2T1pWgFZkDUhidrERfT6AMwvEh7uwzLqTXmFek,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,BUY,SOL,3AZJ...pump,3.014005,11532859.135888,2026-02-17T22:08:03.000Z,100
TWcf38mFF8QFBfd8P4hctmeFaTG1JrEye1sYGLtqce2dZdKZa3aRHHfXgrxPky7vs4wk9G5jvTpHDDiT8fQwudt,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,SELL,BPJi...pump,SOL,5019846.882927,9.199560176,2026-02-17T22:08:23.000Z,100
3pg3yjj2cf5nGHdp97FdLeh8MUxpoUxgQ1ixCbh94LmgfpHpzJbmKXbYyb1BWJU4Wa4PkACBxECKwAiQbvaYysGD,HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,SELL,BPJi...pump,SOL,5019846.882928,8.356382096,2026-02-17T22:08:26.000Z,100
